id,name,type,calculatedCourse,routeName,created,longitude,latitude,speed,paxLoad,totalCap,outOfService,more,tripId,deviceId,outdated,routeBlockId,timestamp
4843,1012,Transit Bus,292.11617645199306,LX Route,01:32 PM,-74.454659300,40.525451800,,55,71,0,102,,411189,0,111421,2024-10-24 13:32:20
9418,4125,,162.3969004635445,H Route,01:32 PM,-74.453017500,40.516115800,,15,57,0,102,,415102,0,111641,2024-10-24 13:32:20
9419,4050,,117.43260353611282,REXL Route,01:32 PM,-74.436578600,40.524625300,,2,67,0,102,,415104,0,111680,2024-10-24 13:32:20
9421,4052,,137.28034336226108,EE Route,01:32 PM,-74.435629500,40.481964600,,34,67,0,102,,415105,0,111582,2024-10-24 13:32:20
17625,4003,Heavy Duty Transit LF,298.7966979635545,REXL Route,01:32 PM,-74.436746800,40.520381000,,80,80,0,102,,417553,0,111677,2024-10-24 13:32:20
11195,3260,,118.71463263746642,LX Route,01:32 PM,-74.433504300,40.523041000,,29,30,0,102,,417554,0,111417,2024-10-24 13:32:20
17626,4004,Heavy Duty Transit LF,46.70714631498646,REXB Route,01:32 PM,-74.437895100,40.484316100,,68,68,0,102,,417555,0,112512,2024-10-24 13:32:20
11204,4910,Shuttle Bus,140.3174592624503,B-He Route,01:32 PM,-74.458061500,40.523577300,,10,30,0,102,,417557,0,112747,2024-10-24 13:32:20
11194,3255,Shuttle Bus,214.99094621316743,A Route,01:32 PM,-74.457784800,40.520275100,,10,30,0,102,,417559,0,111532,2024-10-24 13:32:20
13211,4035,,167.4711922726026,LX Route,01:32 PM,-74.450391500,40.501657000,,71,75,0,102,,422692,0,111411,2024-10-24 13:32:20
13210,4034,,296.6981187628478,EE Route,01:32 PM,-74.437543800,40.485701300,,29,67,0,101,,422694,0,111580,2024-10-24 13:32:20
13214,4038,,6.784588949044121,H Route,01:32 PM,-74.457963300,40.514369500,,25,67,0,102,,422698,0,111638,2024-10-24 13:32:20
